Region/State,COPD (DALY rate per 100000),Asthma (DALY rate per 100000)
India,1700 (1580–1846),450 (336–581)
Low ETL,1894 (1728–2096),529 (380–697)
Bihar,1452 (1263–1672),423 (306–582)
Jharkhand,1146 (970–1362),343 (247–517)
Uttar Pradesh,2402 (2088–2752),665 (466–896)
Rajasthan,2570 (2125–2978),679 (487–879)
Meghalaya,767 (662–976),284 (206–412)
Assam,1653 (1442–1913),493 (357–675)
Chhattisgarh,1219 (1037–1557),339 (231–548)
Madhya Pradesh,1599 (1401–1815),448 (315–603)
Odisha,1177 (981–1675),329 (219–598)
Lower-middle ETL,1704 (1556–1857),443 (337–546)
Arunachal Pradesh,786 (686–926),251 (183–356)
Mizoram,1624 (1408–1855),383 (290–521)
Nagaland,648 (571–764),257 (190–349)
Uttarakhand,2410 (2106–2691),552 (425–680)
Gujarat,1694 (1523–1867),444 (326–554)
Tripura,1676 (1460–1942),518 (389–676)
Sikkim,961 (849–1116),303 (227–399)
Manipur,1021 (885–1322),240 (178–365)
Higher-middle ETL,1566 (1435–1688),391 (302–496)
Haryana,2091 (1833–2335),485 (356–620)
Delhi,921 (826–1024),192 (146–249)
Telangana,1442 (1249–1673),381 (273–502)
Andhra Pradesh,1585 (1398–1811),434 (327–502)
Jammu and Kashmir,1976 (1757–2232),403 (303–511)
Karnataka,1726 (1547–1937),327 (249–417)
West Bengal,1377 (1222–1563),357 (260–491)
Maharashtra,1638 (1467–1815),376 (286–473)
Union territories other than Delhi,818 (724–944),228 (174–300)
High ETL,1292 (1190–1460),299 (249–359)
Himachal Pradesh,2176 (1844–2461),442 (337–575)
Punjab,1335 (1200–1556),293 (224–406)
Tamil Nadu,1234 (1119–1436),352 (271–408)
Goa,1089 (995–1202),249 (198–311)
Kerala,1187 (1069–1364),284 (215–377)
